x,y
-0.750297,-0.661101
0.999218,-0.039549
0.61685,0.787081
0.787847,-0.615871
-0.432957,-0.901415
-0.139089,-0.99028
0.92445,-0.381302
-0.516666,-0.856187
-0.976609,0.215023
0.979943,-0.19928
-0.989318,0.145771
0.007658,-0.999971
-0.811828,0.583897
-0.211434,0.977392
0.379667,0.925123
-0.243633,-0.969868
0.545531,-0.838091
-0.658666,-0.752435
-0.347121,-0.93782
0.59907,-0.800697
-0.978484,0.206323
-0.671913,0.74063
0.082503,0.996591
-0.513199,-0.85827
0.889005,0.457897
-0.981483,-0.191548
0.832417,0.55415
0.003209,0.999995
-0.936286,0.351239
-0.091363,-0.995818
-0.200749,0.979643
0.956282,0.292447
0.991571,0.129563
-0.657926,-0.753082
0.580044,0.814585
-0.922591,0.38578
-0.393367,0.919381
-0.971232,-0.238134
-0.796755,-0.604303
0.960782,0.277305
0.421958,-0.906615
-0.880375,-0.474277
-0.810304,-0.58601
-0.346281,0.938131
0.510479,-0.85989
0.996517,0.083385
-0.906156,0.422944
0.807772,-0.589495
0.259174,-0.965831
-0.249511,0.968372
0.920395,0.390989
-0.618289,-0.785951
0.092938,-0.995672
-0.929977,0.367618
-0.760915,-0.648851
-0.999999,0.001529
0.98574,0.168278
0.914042,0.405621
0.33451,-0.942392
-0.149308,-0.988791
0.105215,0.994449
0.794677,-0.607032
-0.707469,0.706745
-0.600902,0.799323
0.474296,0.880365
0.970133,-0.242573
0.318712,0.947851
-0.920176,-0.391505
-0.93559,0.353087
0.008545,0.999963
-0.089479,0.995989
0.406544,0.913631
0.992054,0.125815
0.90133,0.433133
0.806786,-0.590844
0.904716,-0.426015
-0.997725,0.067421
-0.123964,0.992287
0.481237,-0.87659
-0.868768,-0.49522
-0.332775,0.943006
0.579999,0.814617
-0.550454,0.834865
0.805195,0.59301
-0.584283,-0.81155
0.102782,-0.994704
-0.600935,0.799298
-0.998027,0.062785
-0.193351,0.98113
-0.570574,-0.821246
0.981207,-0.192961
-0.073691,-0.997281
0.89302,-0.450016
-0.419547,-0.907734
-0.714122,-0.700022
0.667985,-0.744174
0.861911,0.50706
0.996434,-0.084378
0.868981,0.494846
0.533314,-0.845917
0.865563,-0.5008
-0.654858,0.755752
-0.341335,-0.939942
0.938322,-0.345762
0.568335,0.822797
0.859171,-0.511688
-0.855775,-0.517348
0.755228,0.655462
-0.170593,0.985342
-0.099829,0.995005
-0.786027,0.618193
-1.0,0.000503
-0.991784,-0.127924
-0.333606,-0.942713
0.805649,-0.592393
-0.717372,-0.69669
0.997941,-0.064137
0.484644,-0.874711
-0.995735,0.092258
-0.927622,0.37352
-0.613253,-0.789887
0.099012,-0.995086
0.094718,0.995504
0.635947,-0.771733
-0.104184,0.994558
-0.210537,0.977586
-0.969229,-0.246161
-0.951137,0.30877
0.960524,-0.278197
0.946508,0.32268
0.443433,-0.896308
0.674334,-0.738427
-0.999999,-0.001024
0.561359,-0.827572
0.908717,0.417412
0.960081,-0.279721
0.751059,0.660236
-0.949789,0.312892
-0.747873,0.663842
-0.555854,0.83128
-0.119338,0.992854
0.909453,-0.415807
0.887311,0.461171
-0.988421,0.151733
