x,y
3.480962,4.660763
3.830103,3.517227
1.451843,4.241686
2.393295,4.669899
4.805244,4.830978
3.033092,2.918658
2.967694,1.404948
2.858578,2.127571
2.724814,2.329725
2.719701,2.201758
2.377207,3.941615
3.014632,2.25968
4.303363,2.603387
2.430883,3.18067
2.714903,2.468476
1.853413,1.501477
2.243154,3.57163
3.540642,0.892652
2.657026,2.59551
1.750875,2.445445
3.722913,3.737882
1.228376,5.543346
2.198148,3.958061
1.891543,2.574012
2.182398,2.648049
3.592736,2.72754
4.238076,1.99183
2.107632,3.412968
3.293907,3.214504
4.003081,2.771976
2.508097,3.918257
4.022462,1.716998
4.140415,3.454682
2.387804,4.526125
2.49554,2.009808
2.823261,4.225609
1.440139,3.453153
2.864784,2.880814
2.497948,4.164953
1.960593,3.174116
2.484712,3.564288
3.347569,2.182906
3.993082,3.154162
3.696909,2.956452
4.044932,2.608389
3.24762,2.940196
2.930765,2.114944
2.071738,3.171434
2.919378,2.84867
2.284093,3.482587
