x,y
0.809755,0.965939
0.989723,0.895773
0.823042,0.945044
0.771249,0.846174
0.497094,0.981643
0.864419,0.920907
0.972085,0.982343
0.904526,0.787428
0.94879,0.955316
0.962682,0.759901
0.818823,0.778731
0.888741,0.672013
0.675817,0.933447
0.969197,0.695735
0.94403,0.946808
0.970758,0.913542
0.873676,0.908301
0.825312,0.799414
0.866511,0.919362
0.979234,0.99067
0.771101,0.881159
0.935245,0.574592
0.612886,0.583581
0.895672,0.985383
0.967149,0.907595
0.657109,0.653948
0.71412,0.990895
0.920356,0.6809
0.79093,0.409144
0.991983,0.605137
0.907556,0.974083
0.865335,0.874704
0.235538,0.892575
0.954762,0.45314
0.941374,0.856578
0.942454,0.968966
0.95562,0.636821
0.931957,0.841443
0.988124,0.585445
0.997653,0.750155
0.93196,0.884194
0.720205,0.865441
0.942364,0.807112
0.983838,0.863952
0.853878,0.696218
0.671436,0.910728
0.820529,0.982595
0.935578,0.982109
0.851656,0.716754
0.844388,0.725221
0.786857,0.833316
0.699155,0.861453
0.755362,0.845777
0.994896,0.776049
0.529569,0.597278
0.255052,0.976414
0.934039,0.706428
0.987764,0.720495
0.848809,0.938424
0.916811,0.986805
0.472593,0.867458
0.921084,0.370288
0.740082,0.834344
0.740138,0.852009
0.996424,0.541949
0.397556,0.306905
0.680568,0.85267
0.928371,0.939202
0.839011,0.986267
0.451622,0.799536
0.998882,0.890577
0.963994,0.911606
0.948758,0.755082
0.839932,0.799307
0.892046,0.8882
0.427442,0.804034
0.882998,0.883897
0.954234,0.824657
0.989453,0.728212
0.829714,0.733509
0.986276,0.806093
0.643161,0.983511
0.767042,0.960215
0.88488,0.785859
0.649793,0.567136
0.410723,0.96443
0.926494,0.482124
0.939735,0.840074
0.851064,0.984024
0.875453,0.818558
0.903946,0.951144
0.960449,0.821721
0.76566,0.447189
0.825648,0.958113
0.866504,0.906792
0.993186,0.775553
0.772881,0.905086
0.87715,0.914108
0.959716,0.952136
0.502934,0.913607
0.58634,0.718062
0.894043,0.878339
0.963424,0.885403
0.965502,0.941098
0.985063,0.948962
0.660217,0.722247
0.813329,0.705012
0.759795,0.675729
0.884556,0.865716
0.930618,0.748927
0.822624,0.964592
0.868136,0.872369
0.936142,0.939778
0.911637,0.800105
0.877077,0.882176
0.924959,0.743284
0.949931,0.907402
0.998008,0.864339
0.964022,0.969285
0.705622,0.978235
0.913027,0.792058
0.989876,0.965683
0.93402,0.512311
0.913695,0.900709
0.989551,0.688344
0.958977,0.938512
0.971887,0.961593
0.833497,0.984554
0.942871,0.363648
0.710701,0.884699
0.735214,0.868904
0.894114,0.851996
0.912379,0.729972
0.987235,0.907051
0.969987,0.969197
0.952484,0.907479
0.957228,0.7637
0.938401,0.873814
0.768267,0.890903
0.678636,0.972251
0.934766,0.876272
0.771303,0.781441
0.904743,0.805091
0.996881,0.915731
0.857089,0.858246
0.754482,0.945385
0.784279,0.925829
0.928816,0.571637
0.992687,0.940902
0.956039,0.491613
0.988941,0.805495
0.948828,0.99795
0.930062,0.913611
0.976613,0.728309
0.744132,0.825065
0.687767,0.998112
0.890215,0.911641
0.882324,0.96332
0.880435,0.797063
0.907633,0.631729
0.970207,0.720242
0.666616,0.933758
0.751271,0.942356
0.630636,0.91266
0.753679,0.983885
0.993079,0.862692
0.958127,0.751755
0.911009,0.688704
0.491502,0.800823
0.956023,0.635119
0.910739,0.694609
0.976332,0.885603
0.968637,0.821122
0.420073,0.622549
0.809248,0.946646
0.592442,0.948237
0.93118,0.97035
0.992981,0.834361
0.942453,0.77627
0.889384,0.963062
0.771051,0.967104
0.929343,0.580668
0.74913,0.888587
0.950094,0.960532
0.429683,0.98644
0.995161,0.850823
0.933198,0.938353
0.65062,0.771072
0.934184,0.918937
0.741695,0.841227
0.873734,0.842969
0.912859,0.592749
0.834479,0.262493
0.932304,0.979237
0.93373,0.843204
0.831271,0.949243
0.9532,0.913863
0.937232,0.937709
0.545307,0.968185
0.766823,0.561523
0.933069,0.866883
0.78974,0.95192
0.980198,0.741083
0.76655,0.781012
0.614538,0.83366
0.991582,0.743205
0.82786,0.948888
0.750225,0.929265
0.639926,0.736812
0.77444,0.733742
0.920263,0.970126
0.928546,0.956091
0.992017,0.95168
0.743203,0.639699
0.853528,0.925705
0.87025,0.837618
0.940383,0.869317
0.885809,0.787158
0.93496,0.832092
0.940392,0.8386
0.873544,0.487424
0.893404,0.92794
0.598652,0.870846
0.959004,0.935762
0.858808,0.998476
0.855633,0.972821
0.974795,0.830297
0.876421,0.458472
0.990825,0.564223
0.617127,0.928302
0.976821,0.889006
0.879426,0.532542
0.669264,0.797985
0.640166,0.918587
0.623684,0.681047
0.750867,0.997745
0.791521,0.569483
0.742876,0.890172
0.988246,0.898499
0.669294,0.848153
0.64105,0.672223
0.779624,0.954732
0.941811,0.97976
0.767201,0.934156
0.819055,0.994147
0.779477,0.918416
0.724383,0.73454
0.63199,0.333671
0.774673,0.780613
0.823244,0.94476
